record_id,timestamp,device_id,employee_id,department,shift,scheduled_start,scheduled_end,event_type,fingerprint_id,fingerprint_match,authentication_time_ms,attempt_number,failed_attempt_count_session,enrollment_status,is_late,is_early_exit,device_status,device_health_score,wifi_rssi_dbm,system_uptime_hr,database_sync_status,alert_type,date,hour,day_of_week,is_weekend,week_of_year,match_success,is_multi_attempt,is_unauthorized,auth_time_zscore,is_device_healthy,is_weak_signal,has_alert,is_sync_failed,checkin_time_zscore,is_unusual_checkin_time,usual_device,is_device_mismatch,prev_event_time,minutes_since_last_event,is_rapid_repeat,anomaly_score
1536,2026-05-14 06:07:47,GATE-02,E1001,Production,Night,22:00:00,06:00:00,Check-Out,1001,Yes,374.5,1,0,Not Applicable,No,No,ONLINE,87.9,-55.7,142.384,SYNCED,No Alert,2026-05-14,6,Thursday,False,20,1,0,0,0.02463082728206119,0,0,0,0,,0,,0,2026-05-13 21:29:52,517.9166666666666,0,0
1648,2026-05-14 22:17:29,GATE-02,E1001,Production,Night,22:00:00,06:00:00,Check-In,1001,Yes,338.4,1,0,Not Applicable,Yes,No,ONLINE,87.3,-58.9,158.546,SYNCED,Late Arrival,2026-05-14,22,Thursday,False,20,1,0,0,-0.3412831635231838,0,0,1,0,1.543637578675541,0,GATE-02,0,2026-05-14 06:07:47,969.7,0,1
1686,2026-05-15 06:14:58,GATE-02,E1001,Production,Night,22:00:00,06:00:00,Check-Out,1001,Yes,410.8,1,0,Not Applicable,No,No,ONLINE,84.2,-58.7,166.504,SYNCED,No Alert,2026-05-15,6,Friday,False,20,1,0,0,0.3925720424130969,0,0,0,0,,0,,0,2026-05-14 22:17:29,477.48333333333335,0,0
1764,2026-05-15 21:52:22,GATE-02,E1001,Production,Night,22:00:00,06:00:00,Check-In,1001,Yes,270.8,2,1,Not Applicable,No,No,ONLINE,85.6,-56.7,182.127,SYNCED,No Alert,2026-05-15,21,Friday,False,20,1,1,0,-1.0264849856404838,0,0,0,0,-0.28903932952132927,0,GATE-02,0,2026-05-15 06:14:58,937.4,0,1
1827,2026-05-16 06:08:50,GATE-02,E1001,Production,Night,22:00:00,06:00:00,Check-Out,1001,Yes,277.3,1,0,Not Applicable,No,No,ONLINE,85.5,-58.0,190.401,SYNCED,No Alert,2026-05-16,6,Saturday,True,20,1,0,0,-0.9606001950522819,0,0,0,0,,0,,0,2026-05-15 21:52:22,496.46666666666664,0,0
1899,2026-05-16 21:50:13,GATE-02,E1001,Production,Night,22:00:00,06:00:00,Check-In,1001,Yes,424.1,1,0,Not Applicable,No,No,ONLINE,85.3,-60.8,206.091,SYNCED,No Alert,2026-05-16,21,Saturday,True,20,1,0,0,0.5273824600781871,0,0,0,0,-0.43565348217707883,0,GATE-02,0,2026-05-16 06:08:50,941.3833333333333,0,0
1939,2026-05-17 06:01:08,GATE-02,E1001,Production,Night,22:00:00,06:00:00,Check-Out,1001,Yes,223.7,1,0,Not Applicable,No,No,ONLINE,86.3,-56.6,214.273,SYNCED,No Alert,2026-05-17,6,Sunday,True,20,1,0,0,-1.5038963143642246,0,0,0,0,,0,,0,2026-05-16 21:50:13,490.9166666666667,0,0
2041,2026-05-18 21:47:22,GATE-02,E1001,Production,Night,22:00:00,06:00:00,Check-In,1001,Yes,333.7,1,0,Not Applicable,No,No,ONLINE,83.2,-63.0,254.044,SYNCED,No Alert,2026-05-18,21,Monday,False,21,1,0,0,-0.3889229351792682,0,0,0,0,-0.6555747111607033,0,GATE-02,0,2026-05-17 06:01:08,2386.233333333333,0,0
2094,2026-05-19 06:10:13,GATE-02,E1001,Production,Night,22:00:00,06:00:00,Check-Out,1001,Yes,430.6,1,0,Not Applicable,No,No,ONLINE,81.7,-53.4,262.424,SYNCED,No Alert,2026-05-19,6,Tuesday,False,21,1,0,0,0.5932672506663891,0,0,0,0,,0,,0,2026-05-18 21:47:22,502.85,0,0
2175,2026-05-19 21:53:40,GATE-02,E1001,Production,Night,22:00:00,06:00:00,Check-In,1001,Yes,306.0,2,1,Not Applicable,No,No,ONLINE,82.0,-63.2,278.149,SYNCED,No Alert,2026-05-19,21,Tuesday,False,21,1,1,0,-0.6696935043012979,0,0,0,0,-0.21573225319345443,0,GATE-02,0,2026-05-19 06:10:13,943.45,0,1
2236,2026-05-20 06:12:34,GATE-02,E1001,Production,Night,22:00:00,06:00:00,Check-Out,1001,Yes,310.0,1,0,Not Applicable,No,No,ONLINE,80.3,-61.1,286.464,SYNCED,No Alert,2026-05-20,6,Wednesday,False,21,1,0,0,-0.6291490177854814,0,0,0,0,,0,,0,2026-05-19 21:53:40,498.9,0,0
2308,2026-05-20 21:44:26,GATE-02,E1001,Production,Night,22:00:00,06:00:00,Check-In,1001,Yes,379.9,1,0,Not Applicable,No,No,ONLINE,80.3,-61.5,301.995,SYNCED,No Alert,2026-05-20,21,Wednesday,False,21,1,0,0,0.07936588407841336,0,0,0,0,-0.8754959401443277,0,GATE-02,0,2026-05-20 06:12:34,931.8666666666667,0,0
2387,2026-05-21 06:31:58,GATE-02,E1001,Production,Night,22:00:00,06:00:00,Check-Out,1001,Yes,355.2,1,0,Not Applicable,No,No,ONLINE,83.0,-58.8,310.787,SYNCED,No Alert,2026-05-21,6,Thursday,False,21,1,0,0,-0.17099632015675398,0,0,0,0,,0,,0,2026-05-20 21:44:26,527.5333333333333,0,0
2462,2026-05-21 21:59:11,GATE-02,E1001,Production,Night,22:00:00,06:00:00,Check-In,1001,Yes,304.7,1,0,Not Applicable,No,No,ONLINE,81.8,-57.8,326.24,SYNCED,No Alert,2026-05-21,21,Thursday,False,21,1,0,0,-0.6828704624189385,0,0,0,0,0.22411020477379442,0,GATE-02,0,2026-05-21 06:31:58,927.2166666666667,0,0
2508,2026-05-22 05:59:39,GATE-02,E1001,Production,Night,22:00:00,06:00:00,Check-Out,1001,Yes,395.3,1,0,Not Applicable,No,No,ONLINE,81.9,-59.8,334.248,SYNCED,No Alert,2026-05-22,5,Friday,False,21,1,0,0,0.23546215716430757,0,0,0,0,,0,,0,2026-05-21 21:59:11,480.46666666666664,0,0
2603,2026-05-22 21:59:19,GATE-02,E1001,Production,Night,22:00:00,06:00:00,Check-In,1001,Yes,291.8,1,0,Not Applicable,No,No,ONLINE,82.8,-57.2,350.243,SYNCED,No Alert,2026-05-22,21,Friday,False,21,1,0,0,-0.8136264314324467,0,0,0,0,0.22411020477379442,0,GATE-02,0,2026-05-22 05:59:39,959.6666666666666,0,0
2655,2026-05-23 06:11:15,GATE-02,E1001,Production,Night,22:00:00,06:00:00,Check-Out,1001,Yes,359.4,3,2,Not Applicable,No,No,ONLINE,80.4,-63.2,358.442,SYNCED,No Alert,2026-05-23,6,Saturday,True,21,1,1,0,-0.12842460931514668,0,0,0,0,,0,,0,2026-05-22 21:59:19,491.93333333333334,0,1
2735,2026-05-23 22:05:35,GATE-02,E1001,Production,Night,22:00:00,06:00:00,Check-In,1001,Yes,401.3,1,0,Not Applicable,No,No,ONLINE,79.1,-58.2,374.347,SYNCED,No Alert,2026-05-23,22,Saturday,True,21,1,0,0,0.29627888693803245,0,0,0,0,0.6639526627410433,0,GATE-02,0,2026-05-23 06:11:15,954.3333333333334,0,0
2784,2026-05-24 06:21:02,GATE-02,E1001,Production,Night,22:00:00,06:00:00,Check-Out,1001,Yes,356.8,1,0,Not Applicable,No,No,ONLINE,77.9,-58.8,382.605,SYNCED,No Alert,2026-05-24,6,Sunday,True,21,1,0,0,-0.15477852555042712,0,0,0,0,,0,,0,2026-05-23 22:05:35,495.45,0,0
2883,2026-05-25 21:55:09,GATE-02,E1001,Production,Night,22:00:00,06:00:00,Check-In,1001,Yes,379.9,1,0,Not Applicable,No,No,ONLINE,80.6,-56.2,422.173,SYNCED,No Alert,2026-05-25,21,Monday,False,22,1,0,0,0.07936588407841336,0,0,0,0,-0.06911810053770481,0,GATE-02,0,2026-05-24 06:21:02,2374.116666666667,0,0
2925,2026-05-26 05:57:48,GATE-02,E1001,Production,Night,22:00:00,06:00:00,Check-Out,1001,Yes,277.8,1,0,Not Applicable,No,No,ONLINE,77.7,-61.8,430.217,SYNCED,No Alert,2026-05-26,5,Tuesday,False,22,1,0,0,-0.9555321342378048,0,0,0,0,,0,,0,2026-05-25 21:55:09,482.65,0,0
3022,2026-05-26 21:57:57,GATE-02,E1001,Production,Night,22:00:00,06:00:00,Check-In,1001,Yes,354.2,1,0,Not Applicable,No,No,ONLINE,77.9,-60.3,446.22,SYNCED,No Alert,2026-05-26,21,Tuesday,False,22,1,0,0,-0.18113244178570811,0,0,0,0,0.07749605211804479,0,GATE-02,0,2026-05-26 05:57:48,960.15,0,0
3058,2026-05-27 05:47:20,GATE-02,E1001,Production,Night,22:00:00,06:00:00,Check-Out,1001,Yes,335.5,1,0,Not Applicable,No,No,ONLINE,76.7,-56.5,454.043,SYNCED,No Alert,2026-05-27,5,Wednesday,False,22,1,0,0,-0.3706779162471506,0,0,0,0,,0,,0,2026-05-26 21:57:57,469.3833333333333,0,0
3171,2026-05-27 22:01:30,GATE-02,E1001,Production,Night,22:00:00,06:00:00,Check-In,1001,Yes,375.0,2,1,Not Applicable,No,No,ONLINE,77.3,-60.0,470.279,SYNCED,No Alert,2026-05-27,22,Wednesday,False,22,1,1,0,0.029698888096538267,0,0,0,0,0.370724357429544,0,GATE-02,0,2026-05-27 05:47:20,974.1666666666666,0,1
3208,2026-05-28 06:00:31,GATE-02,E1001,Production,Night,22:00:00,06:00:00,Check-Out,1001,Yes,299.3,1,0,Not Applicable,No,No,ONLINE,74.4,-58.6,478.263,SYNCED,No Alert,2026-05-28,6,Thursday,False,22,1,0,0,-0.7376055192152906,0,0,0,0,,0,,0,2026-05-27 22:01:30,479.01666666666665,0,0
3330,2026-05-28 22:11:53,GATE-02,E1001,Production,Night,22:00:00,06:00:00,Check-In,1001,Yes,251.6,1,0,Not Applicable,Yes,No,ONLINE,75.0,-59.2,494.452,SYNCED,Late Arrival,2026-05-28,22,Thursday,False,22,1,0,0,-1.2210985209164036,0,0,1,0,1.103795120708292,0,GATE-02,0,2026-05-28 06:00:31,971.3666666666667,0,1
3358,2026-05-29 05:59:16,GATE-02,E1001,Production,Night,22:00:00,06:00:00,Check-Out,1001,Yes,330.1,2,1,Not Applicable,No,No,ONLINE,76.1,-58.1,502.242,SYNCED,No Alert,2026-05-29,5,Friday,False,22,1,1,0,-0.42541297304350273,0,0,0,0,,0,,0,2026-05-28 22:11:53,467.3833333333333,0,1
3447,2026-05-29 21:55:11,GATE-02,E1001,Production,Night,22:00:00,06:00:00,Check-In,1001,Yes,374.5,2,1,Not Applicable,No,No,ONLINE,75.6,-58.3,518.174,SYNCED,No Alert,2026-05-29,21,Friday,False,22,1,1,0,0.02463082728206119,0,0,0,0,-0.06911810053770481,0,GATE-02,0,2026-05-29 05:59:16,955.9166666666666,0,1
3509,2026-05-30 06:53:02,GATE-02,E1001,Production,Night,22:00:00,06:00:00,Check-Out,1001,Yes,290.3,1,0,Not Applicable,No,No,ONLINE,74.2,-61.3,527.138,SYNCED,No Alert,2026-05-30,6,Saturday,True,22,1,0,0,-0.828830613875878,0,0,0,0,,0,,0,2026-05-29 21:55:11,537.85,0,0
3571,2026-05-30 21:23:04,GATE-02,E1001,Production,Night,22:00:00,06:00:00,Check-In,1001,Yes,438.5,1,0,Not Applicable,No,No,ONLINE,73.5,-55.6,541.639,SYNCED,No Alert,2026-05-30,21,Saturday,True,22,1,0,0,0.6733426115351266,0,0,0,0,-2.4149445430296987,1,GATE-02,0,2026-05-30 06:53:02,870.0333333333333,0,1
3623,2026-05-31 05:51:39,GATE-02,E1001,Production,Night,22:00:00,06:00:00,Check-Out,1001,Yes,244.6,2,1,Not Applicable,No,No,ONLINE,95.6,-52.4,2.861,SYNCED,No Alert,2026-05-31,5,Sunday,True,22,1,1,0,-1.2920513723190827,1,0,0,0,,0,,0,2026-05-30 21:23:04,508.5833333333333,0,1
3740,2026-06-01 22:06:05,GATE-02,E1001,Production,Night,22:00:00,06:00:00,Check-In,1001,Yes,379.0,1,0,Not Applicable,No,No,ONLINE,94.4,-58.0,6.546,SYNCED,No Alert,2026-06-01,22,Monday,False,23,1,0,0,0.07024337461235486,1,0,0,0,0.7372597390689181,0,GATE-02,0,2026-05-31 05:51:39,2414.4333333333334,0,0
3803,2026-06-02 06:39:05,GATE-02,E1001,Production,Night,22:00:00,06:00:00,Check-Out,1001,Yes,370.5,2,1,Not Applicable,No,No,ONLINE,93.2,-62.7,15.096,SYNCED,No Alert,2026-06-02,6,Tuesday,False,23,1,1,0,-0.0159136592337554,1,0,0,0,,0,,0,2026-06-01 22:06:05,513.0,0,1
3855,2026-06-02 21:33:23,GATE-02,E1001,Production,Night,22:00:00,06:00:00,Check-In,1001,Yes,388.9,1,0,Not Applicable,No,No,ONLINE,93.4,-65.1,30.001,SYNCED,No Alert,2026-06-02,21,Tuesday,False,23,1,0,0,0.1705909787390007,1,0,0,0,-1.6818737797509506,0,GATE-02,0,2026-06-02 06:39:05,894.3,0,0
3913,2026-06-03 06:02:31,GATE-02,E1001,Production,Night,22:00:00,06:00:00,Check-Out,1001,Yes,336.2,3,2,Not Applicable,No,No,ONLINE,93.0,-58.1,38.487,SYNCED,No Alert,2026-06-03,6,Wednesday,False,23,1,1,0,-0.36358263110688277,1,0,0,0,,0,,0,2026-06-02 21:33:23,509.1333333333333,0,1
3997,2026-06-03 21:47:59,GATE-02,E1001,Production,Night,22:00:00,06:00:00,Check-In,1001,Yes,327.9,1,0,Not Applicable,No,No,ONLINE,93.5,-55.4,54.244,SYNCED,No Alert,2026-06-03,21,Wednesday,False,23,1,0,0,-0.44771244062720233,1,0,0,0,-0.6555747111607033,0,GATE-02,0,2026-06-03 06:02:31,945.4666666666667,0,0
4073,2026-06-04 06:28:14,GATE-02,E1001,Production,Night,22:00:00,06:00:00,Check-Out,1001,Yes,386.3,1,0,Not Applicable,No,No,ONLINE,93.0,-59.3,62.915,SYNCED,No Alert,2026-06-04,6,Thursday,False,23,1,0,0,0.14423706250372026,1,0,0,0,,0,,0,2026-06-03 21:47:59,520.25,0,0
4151,2026-06-04 21:49:28,GATE-02,E1001,Production,Night,22:00:00,06:00:00,Check-In,1001,Yes,289.6,1,0,Not Applicable,No,No,ONLINE,90.8,-61.0,78.269,SYNCED,No Alert,2026-06-04,21,Thursday,False,23,1,0,0,-0.8359258990161458,1,0,0,0,-0.5089605585049537,0,GATE-02,0,2026-06-04 06:28:14,921.2333333333333,0,0
4214,2026-06-05 06:33:12,GATE-02,E1001,Production,Night,22:00:00,06:00:00,Check-Out,1001,Yes,415.1,1,0,Not Applicable,No,No,ONLINE,90.3,-59.1,86.998,SYNCED,No Alert,2026-06-05,6,Friday,False,23,1,0,0,0.4361573654175998,1,0,0,0,,0,,0,2026-06-04 21:49:28,523.7333333333333,0,0
4287,2026-06-05 21:57:09,GATE-02,E1001,Production,Night,22:00:00,06:00:00,Check-In,1001,Yes,411.1,1,0,Not Applicable,No,No,ONLINE,93.4,-59.9,102.397,SYNCED,No Alert,2026-06-05,21,Friday,False,23,1,0,0,0.39561287890178326,1,0,0,0,0.07749605211804479,0,GATE-02,0,2026-06-05 06:33:12,923.95,0,0
4333,2026-06-06 06:10:08,GATE-02,E1001,Production,Night,22:00:00,06:00:00,Check-Out,1001,Yes,318.9,1,0,Not Applicable,No,No,ONLINE,93.9,-62.8,110.614,SYNCED,No Alert,2026-06-06,6,Saturday,True,23,1,0,0,-0.5389375352877896,1,0,0,0,,0,,0,2026-06-05 21:57:09,492.98333333333335,0,0
4436,2026-06-06 22:14:37,GATE-02,E1001,Production,Night,22:00:00,06:00:00,Check-In,1001,Yes,293.9,1,0,Not Applicable,Yes,No,ONLINE,91.3,-59.6,126.688,SYNCED,Late Arrival,2026-06-06,22,Saturday,True,23,1,0,0,-0.7923405760116433,1,0,1,0,1.3237163496919166,0,GATE-02,0,2026-06-06 06:10:08,964.4833333333333,0,1
4446,2026-06-07 05:36:04,GATE-02,E1001,Production,Night,22:00:00,06:00:00,Check-Out,1001,Yes,351.5,1,0,Not Applicable,No,Yes,ONLINE,90.9,-60.3,134.046,SYNCED,Early Exit,2026-06-07,5,Sunday,True,23,1,0,0,-0.20849997018388422,1,0,1,0,,0,,0,2026-06-06 22:14:37,441.45,0,1
4575,2026-06-08 21:58:38,GATE-02,E1001,Production,Night,22:00:00,06:00:00,Check-In,1001,Yes,315.7,1,0,Not Applicable,No,No,ONLINE,90.4,-60.8,174.422,SYNCED,No Alert,2026-06-08,21,Monday,False,24,1,0,0,-0.5713731245004429,1,0,0,0,0.15080312844591962,0,GATE-02,0,2026-06-07 05:36:04,2422.5666666666666,0,0
4612,2026-06-09 05:57:07,GATE-02,E1001,Production,Night,22:00:00,06:00:00,Check-Out,1001,Yes,399.3,1,0,Not Applicable,No,No,ONLINE,91.2,-49.1,182.397,SYNCED,No Alert,2026-06-09,5,Tuesday,False,24,1,0,0,0.2760066436801242,1,0,0,0,,0,,0,2026-06-08 21:58:38,478.48333333333335,0,0
4693,2026-06-09 21:29:30,GATE-02,E1001,Production,Night,22:00:00,06:00:00,Check-In,1001,Yes,287.4,1,0,Not Applicable,No,No,ONLINE,90.1,-57.8,197.936,SYNCED,No Alert,2026-06-09,21,Tuesday,False,24,1,0,0,-0.8582253665998454,1,0,0,0,-1.9751020850624499,0,GATE-02,0,2026-06-09 05:57:07,932.3833333333333,0,0
4773,2026-06-10 06:17:28,GATE-02,E1001,Production,Night,22:00:00,06:00:00,Check-Out,1001,Yes,357.2,4,3,Not Applicable,No,No,ONLINE,89.0,-56.1,206.736,SYNCED,No Alert,2026-06-10,6,Wednesday,False,24,1,1,0,-0.15072407689884568,0,0,0,0,,0,,0,2026-06-09 21:29:30,527.9666666666667,0,1
4858,2026-06-10 22:15:14,GATE-02,E1001,Production,Night,22:00:00,06:00:00,Check-In,1001,Yes,406.4,1,0,Not Applicable,Yes,No,ONLINE,85.5,-54.4,222.699,SYNCED,Late Arrival,2026-06-10,22,Wednesday,False,24,1,0,0,0.3479731072456983,0,0,1,0,1.3970234260197913,0,GATE-02,0,2026-06-10 06:17:28,957.7666666666667,0,1
4885,2026-06-11 06:04:53,GATE-02,E1001,Production,Night,22:00:00,06:00:00,Check-Out,1001,Yes,341.6,1,0,Not Applicable,No,No,ONLINE,89.1,-59.5,230.526,SYNCED,No Alert,2026-06-11,6,Thursday,False,24,1,0,0,-0.30884757431053006,0,0,0,0,,0,,0,2026-06-10 22:15:14,469.65,0,0
4967,2026-06-11 21:35:58,GATE-02,E1001,Production,Night,22:00:00,06:00:00,Check-In,1001,Yes,450.7,1,0,Not Applicable,No,No,ONLINE,85.7,-55.0,246.044,SYNCED,No Alert,2026-06-11,21,Thursday,False,24,1,0,0,0.7970032954083671,0,0,0,0,-1.535259627095201,0,GATE-02,0,2026-06-11 06:04:53,931.0833333333334,0,0
5037,2026-06-12 06:11:15,GATE-02,E1001,Production,Night,22:00:00,06:00:00,Check-Out,1001,Yes,441.9,1,0,Not Applicable,No,No,ONLINE,86.5,-64.7,254.632,SYNCED,No Alert,2026-06-12,6,Friday,False,24,1,0,0,0.7078054250735706,0,0,0,0,,0,,0,2026-06-11 21:35:58,515.2833333333333,0,0
5109,2026-06-12 21:52:14,GATE-02,E1001,Production,Night,22:00:00,06:00:00,Check-In,1001,Yes,366.9,1,0,Not Applicable,No,No,ONLINE,87.2,-52.5,270.315,SYNCED,No Alert,2026-06-12,21,Friday,False,24,1,0,0,-0.052403697097990566,0,0,0,0,-0.28903932952132927,0,GATE-02,0,2026-06-12 06:11:15,940.9833333333333,0,0
5165,2026-06-13 06:01:09,GATE-02,E1001,Production,Night,22:00:00,06:00:00,Check-Out,1001,Yes,460.8,1,0,Not Applicable,No,No,ONLINE,86.6,-61.5,278.464,SYNCED,No Alert,2026-06-13,6,Saturday,True,24,1,0,0,0.8993781238608043,0,0,0,0,,0,,0,2026-06-12 21:52:14,488.9166666666667,0,0
