record_id,timestamp,device_id,employee_id,department,shift,scheduled_start,scheduled_end,event_type,fingerprint_id,fingerprint_match,authentication_time_ms,attempt_number,failed_attempt_count_session,enrollment_status,is_late,is_early_exit,device_status,device_health_score,wifi_rssi_dbm,system_uptime_hr,database_sync_status,alert_type,date,hour
32,2026-05-01 13:46:22,GATE-02,E1016,Packing,Afternoon,14:00:00,22:00:00,Check-In,1016,Yes,399.4,1,0,Not Applicable,No,No,ONLINE,97.6,-58.1,13.773,SYNCED,No Alert,2026-05-01,13
33,2026-05-01 13:46:23,GATE-02,E1018,Production,Afternoon,14:00:00,22:00:00,Check-In,1018,Yes,405.5,1,0,Not Applicable,No,No,ONLINE,95.8,-60.4,13.773,SYNCED,No Alert,2026-05-01,13
34,2026-05-01 13:47:23,GATE-02,E1051,Maintenance,Afternoon,14:00:00,22:00:00,Check-In,1051,Yes,325.6,1,0,Not Applicable,No,No,ONLINE,95.9,-64.3,13.79,SYNCED,No Alert,2026-05-01,13
35,2026-05-01 13:47:50,GATE-02,UNVERIFIED,Unknown,Unknown,14:00:00,22:00:00,Check-In/Out Attempt,0,No,312.1,1,1,Not Applicable,No,No,ONLINE,94.6,-58.4,13.797,SYNCED,Unknown Fingerprint,2026-05-01,13
36,2026-05-01 13:47:53,GATE-02,UNVERIFIED,Unknown,Unknown,14:00:00,22:00:00,Check-In/Out Attempt,0,No,400.6,2,2,Not Applicable,No,No,ONLINE,95.4,-62.6,13.798,SYNCED,Unknown Fingerprint,2026-05-01,13
37,2026-05-01 13:47:55,GATE-02,E1021,Production,Afternoon,14:00:00,22:00:00,Check-In,1021,Yes,410.1,3,2,Not Applicable,No,No,ONLINE,95.9,-62.9,13.799,SYNCED,No Alert,2026-05-01,13
38,2026-05-01 13:51:29,GATE-02,E1005,Production,Morning,06:00:00,14:00:00,Check-Out,1005,Yes,293.1,1,0,Not Applicable,No,No,ONLINE,96.6,-53.2,13.858,SYNCED,No Alert,2026-05-01,13
39,2026-05-01 13:56:32,GATE-02,E1031,Maintenance,Afternoon,14:00:00,22:00:00,Check-In,1031,Yes,405.7,1,0,Not Applicable,No,No,ONLINE,94.5,-54.2,13.942,SYNCED,No Alert,2026-05-01,13
40,2026-05-01 13:56:46,GATE-01,E1048,Security,Afternoon,14:00:00,22:00:00,Check-In,1048,Yes,411.2,1,0,Not Applicable,No,No,ONLINE,96.4,-40.3,13.946,SYNCED,No Alert,2026-05-01,13
41,2026-05-01 14:00:18,GATE-03,UNVERIFIED,Unknown,Unknown,14:00:00,22:00:00,Check-In/Out Attempt,0,No,579.8,1,1,Not Applicable,No,No,ONLINE,95.5,-64.3,14.005,SYNCED,Unknown Fingerprint,2026-05-01,14
42,2026-05-01 14:00:21,GATE-03,E1009,Warehouse,Afternoon,14:00:00,22:00:00,Check-In,1009,Yes,297.9,2,1,Not Applicable,No,No,ONLINE,94.5,-70.1,14.006,SYNCED,No Alert,2026-05-01,14
43,2026-05-01 14:01:26,GATE-01,E1011,Security,Morning,06:00:00,14:00:00,Check-Out,1011,Yes,362.4,1,0,Not Applicable,No,No,ONLINE,95.6,-46.3,14.024,SYNCED,No Alert,2026-05-01,14
44,2026-05-01 14:04:02,GATE-02,E1003,Production,Afternoon,14:00:00,22:00:00,Check-In,1003,Yes,345.1,1,0,Not Applicable,No,No,ONLINE,95.0,-59.6,14.067,SYNCED,No Alert,2026-05-01,14
45,2026-05-01 14:04:29,GATE-02,E1037,Production,Morning,06:00:00,14:00:00,Check-Out,1037,Yes,482.0,1,0,Not Applicable,No,No,ONLINE,97.5,-56.0,14.075,SYNCED,No Alert,2026-05-01,14
46,2026-05-01 14:04:53,GATE-01,E1017,Quality Control,Afternoon,14:00:00,22:00:00,Check-In,1017,Yes,414.5,1,0,Not Applicable,No,No,ONLINE,95.9,-49.2,14.081,SYNCED,No Alert,2026-05-01,14
47,2026-05-01 14:05:02,GATE-02,UNVERIFIED,Unknown,Unknown,14:00:00,22:00:00,Check-In/Out Attempt,0,No,502.2,1,1,Not Applicable,No,No,ONLINE,95.0,-66.4,14.084,SYNCED,Unknown Fingerprint,2026-05-01,14
48,2026-05-01 14:05:04,GATE-02,E1054,Production,Afternoon,14:00:00,22:00:00,Check-In,1054,Yes,317.6,2,1,Not Applicable,No,No,ONLINE,96.1,-56.6,14.085,SYNCED,No Alert,2026-05-01,14
49,2026-05-01 14:06:04,GATE-02,E1040,Production,Morning,06:00:00,14:00:00,Check-Out,1040,Yes,420.4,1,0,Not Applicable,No,No,ONLINE,96.2,-61.6,14.101,SYNCED,No Alert,2026-05-01,14
50,2026-05-01 14:06:29,GATE-02,E1027,Production,Afternoon,14:00:00,22:00:00,Check-In,1027,Yes,353.1,1,0,Not Applicable,No,No,ONLINE,93.3,-60.0,14.108,SYNCED,No Alert,2026-05-01,14
51,2026-05-01 14:06:53,GATE-02,E1059,Production,Morning,06:00:00,14:00:00,Check-Out,1059,Yes,343.8,1,0,Not Applicable,No,No,ONLINE,94.2,-61.9,14.115,SYNCED,No Alert,2026-05-01,14
52,2026-05-01 14:07:17,GATE-02,E1043,Production,Afternoon,14:00:00,22:00:00,Check-In,1043,Yes,471.6,1,0,Not Applicable,No,No,ONLINE,94.3,-63.8,14.122,SYNCED,No Alert,2026-05-01,14
53,2026-05-01 14:09:35,GATE-01,E1056,Quality Control,Afternoon,14:00:00,22:00:00,Check-In,1056,Yes,225.4,1,0,Not Applicable,No,No,ONLINE,95.4,-48.5,14.16,SYNCED,No Alert,2026-05-01,14
54,2026-05-01 14:10:05,GATE-03,E1002,Warehouse,Afternoon,14:00:00,22:00:00,Check-In,1002,Yes,450.6,1,0,Not Applicable,Yes,No,ONLINE,96.5,-63.6,14.168,SYNCED,Late Arrival,2026-05-01,14
55,2026-05-01 14:14:03,GATE-02,E1045,Production,Morning,06:00:00,14:00:00,Check-Out,1045,Yes,325.2,1,0,Not Applicable,No,No,ONLINE,94.9,-58.0,14.234,SYNCED,No Alert,2026-05-01,14
56,2026-05-01 14:16:10,GATE-02,E1028,Production,Morning,06:00:00,14:00:00,Check-Out,1028,Yes,284.6,1,0,Not Applicable,No,No,ONLINE,96.4,-62.1,14.269,SYNCED,No Alert,2026-05-01,14
57,2026-05-01 14:19:16,GATE-01,E1053,Quality Control,Morning,06:00:00,14:00:00,Check-Out,1053,Yes,342.4,1,0,Not Applicable,No,No,ONLINE,97.3,-44.0,14.321,SYNCED,No Alert,2026-05-01,14
58,2026-05-01 14:31:37,GATE-01,E1008,Quality Control,Morning,06:00:00,14:00:00,Check-Out,1008,Yes,324.6,1,0,Not Applicable,No,No,ONLINE,95.7,-53.0,14.527,SYNCED,No Alert,2026-05-01,14
59,2026-05-01 14:37:59,GATE-02,E1058,Maintenance,Morning,06:00:00,14:00:00,Check-Out,1058,Yes,348.6,1,0,Not Applicable,No,No,ONLINE,94.1,-62.8,14.633,SYNCED,No Alert,2026-05-01,14
60,2026-05-01 18:35:35,GATE-01,UNVERIFIED,Unknown,Unknown,09:30:00,18:30:00,Check-In/Out Attempt,0,No,457.0,1,1,Not Applicable,No,No,ONLINE,93.2,-48.1,18.593,SYNCED,Unknown Fingerprint,2026-05-01,18
61,2026-05-01 18:35:39,GATE-01,E1055,Admin/HR,General,09:30:00,18:30:00,Check-Out,1055,Yes,329.2,2,1,Not Applicable,No,No,ONLINE,95.9,-55.4,18.594,SYNCED,No Alert,2026-05-01,18
62,2026-05-01 18:40:17,GATE-01,E1034,Admin/HR,General,09:30:00,18:30:00,Check-Out,1034,Yes,352.6,1,0,Not Applicable,No,No,ONLINE,96.6,-46.7,18.672,SYNCED,No Alert,2026-05-01,18
63,2026-05-01 18:42:57,GATE-01,E1030,Admin/HR,General,09:30:00,18:30:00,Check-Out,1030,Yes,243.6,1,0,Not Applicable,No,No,ONLINE,97.4,-51.8,18.716,SYNCED,No Alert,2026-05-01,18
64,2026-05-01 18:47:08,GATE-01,E1004,Admin/HR,General,09:30:00,18:30:00,Check-Out,1004,Yes,399.8,1,0,Not Applicable,No,No,ONLINE,96.0,-48.1,18.786,SYNCED,No Alert,2026-05-01,18
65,2026-05-01 18:51:43,GATE-01,E1014,Admin/HR,General,09:30:00,18:30:00,Check-Out,1014,Yes,307.2,1,0,Not Applicable,No,No,ONLINE,94.8,-49.6,18.862,SYNCED,No Alert,2026-05-01,18
66,2026-05-01 18:57:59,GATE-01,E1026,Admin/HR,General,09:30:00,18:30:00,Check-Out,1026,Yes,302.9,1,0,Not Applicable,No,No,ONLINE,94.1,-46.0,18.967,SYNCED,No Alert,2026-05-01,18
67,2026-05-01 21:29:38,GATE-02,E1057,Packing,Night,22:00:00,06:00:00,Check-In,1057,Yes,322.2,1,0,Not Applicable,No,No,ONLINE,95.6,-64.7,21.494,SYNCED,No Alert,2026-05-01,21
68,2026-05-01 21:31:08,GATE-02,E1006,Production,Night,22:00:00,06:00:00,Check-In,1006,Yes,356.6,1,0,Not Applicable,No,No,ONLINE,96.0,-62.0,21.519,SYNCED,No Alert,2026-05-01,21
69,2026-05-01 21:34:24,GATE-02,E1022,Production,Night,22:00:00,06:00:00,Check-In,1022,Yes,361.8,1,0,Not Applicable,No,No,ONLINE,98.1,-61.1,21.573,SYNCED,No Alert,2026-05-01,21
70,2026-05-01 21:37:32,GATE-02,E1025,Production,Night,22:00:00,06:00:00,Check-In,1025,Yes,366.0,1,0,Not Applicable,No,No,ONLINE,94.8,-58.2,21.626,SYNCED,No Alert,2026-05-01,21
71,2026-05-01 21:44:32,GATE-02,E1020,Production,Night,22:00:00,06:00:00,Check-In,1020,Yes,399.3,1,0,Not Applicable,No,No,ONLINE,93.7,-61.0,21.742,SYNCED,No Alert,2026-05-01,21
72,2026-05-01 21:45:19,GATE-01,UNVERIFIED,Unknown,Unknown,14:00:00,22:00:00,Check-In/Out Attempt,0,No,459.5,1,1,Not Applicable,No,No,ONLINE,95.2,-49.9,21.756,SYNCED,Unknown Fingerprint,2026-05-01,21
73,2026-05-01 21:45:23,GATE-01,UNVERIFIED,Unknown,Unknown,14:00:00,22:00:00,Check-In/Out Attempt,0,No,270.7,2,2,Not Applicable,No,No,ONLINE,95.0,-54.9,21.756,SYNCED,Unknown Fingerprint,2026-05-01,21
74,2026-05-01 21:45:28,GATE-01,E1048,Security,Afternoon,14:00:00,22:00:00,Check-Out,1048,Yes,373.4,3,2,Not Applicable,No,No,ONLINE,95.4,-49.4,21.758,SYNCED,No Alert,2026-05-01,21
75,2026-05-01 21:49:23,GATE-02,E1021,Production,Afternoon,14:00:00,22:00:00,Check-Out,1021,Yes,388.1,1,0,Not Applicable,No,No,ONLINE,97.2,-61.8,21.823,SYNCED,No Alert,2026-05-01,21
76,2026-05-01 21:50:01,GATE-03,E1038,Warehouse,Night,22:00:00,06:00:00,Check-In,1038,Yes,334.7,1,0,Not Applicable,No,No,ONLINE,95.8,-68.7,21.834,SYNCED,No Alert,2026-05-01,21
77,2026-05-01 21:50:48,GATE-03,UNVERIFIED,Unknown,Unknown,22:00:00,06:00:00,Check-In/Out Attempt,0,No,251.2,1,1,Not Applicable,No,No,ONLINE,94.6,-67.9,21.847,SYNCED,Unknown Fingerprint,2026-05-01,21
78,2026-05-01 21:50:51,GATE-03,E1007,Warehouse,Night,22:00:00,06:00:00,Check-In,1007,Yes,424.9,2,1,Not Applicable,No,No,ONLINE,93.8,-68.2,21.848,SYNCED,No Alert,2026-05-01,21
79,2026-05-01 21:51:30,GATE-02,E1047,Production,Night,22:00:00,06:00:00,Check-In,1047,Yes,285.9,1,0,Not Applicable,No,No,ONLINE,94.8,-61.3,21.859,SYNCED,No Alert,2026-05-01,21
80,2026-05-01 21:55:20,GATE-02,E1036,Production,Night,22:00:00,06:00:00,Check-In,1036,Yes,335.4,1,0,Not Applicable,No,No,ONLINE,95.6,-59.9,21.922,SYNCED,No Alert,2026-05-01,21
81,2026-05-01 21:56:08,GATE-03,E1009,Warehouse,Afternoon,14:00:00,22:00:00,Check-Out,1009,Yes,414.9,1,0,Not Applicable,No,No,ONLINE,92.0,-70.5,21.936,SYNCED,No Alert,2026-05-01,21
82,2026-05-01 21:56:43,GATE-02,E1023,Packing,Night,22:00:00,06:00:00,Check-In,1023,Yes,357.8,1,0,Not Applicable,No,No,ONLINE,97.2,-54.5,21.945,SYNCED,No Alert,2026-05-01,21
83,2026-05-01 21:58:08,GATE-03,UNVERIFIED,Unknown,Unknown,22:00:00,06:00:00,Check-In/Out Attempt,0,No,515.6,1,1,Not Applicable,No,No,ONLINE,96.3,-74.4,21.969,SYNCED,Unknown Fingerprint,2026-05-01,21
84,2026-05-01 21:58:14,GATE-03,E1019,Security,Night,22:00:00,06:00:00,Check-In,1019,Yes,246.6,2,1,Not Applicable,No,No,ONLINE,93.7,-67.9,21.971,SYNCED,No Alert,2026-05-01,21
85,2026-05-01 21:58:24,GATE-02,UNVERIFIED,Unknown,Unknown,22:00:00,06:00:00,Check-In/Out Attempt,0,No,562.6,1,1,Not Applicable,No,No,ONLINE,92.8,-64.1,21.974,SYNCED,Unknown Fingerprint,2026-05-01,21
86,2026-05-01 21:58:30,GATE-02,E1001,Production,Night,22:00:00,06:00:00,Check-In,1001,Yes,369.8,2,1,Not Applicable,No,No,ONLINE,96.9,-56.2,21.975,SYNCED,No Alert,2026-05-01,21
87,2026-05-01 21:59:22,GATE-02,E1035,Packing,Night,22:00:00,06:00:00,Check-In,1035,Yes,354.5,1,0,Not Applicable,No,No,ONLINE,96.6,-53.1,21.99,SYNCED,No Alert,2026-05-01,21
88,2026-05-01 22:00:36,GATE-02,E1013,Security,Night,22:00:00,06:00:00,Check-In,1013,Yes,369.9,1,0,Not Applicable,No,No,ONLINE,95.1,-61.8,22.01,SYNCED,No Alert,2026-05-01,22
89,2026-05-01 22:03:03,GATE-02,E1054,Production,Afternoon,14:00:00,22:00:00,Check-Out,1054,Yes,296.1,1,0,Not Applicable,No,No,ONLINE,97.9,-59.4,22.051,SYNCED,No Alert,2026-05-01,22
90,2026-05-01 22:03:26,GATE-02,E1018,Production,Afternoon,14:00:00,22:00:00,Check-Out,1018,Yes,299.6,1,0,Not Applicable,No,No,ONLINE,95.8,-58.0,22.057,SYNCED,No Alert,2026-05-01,22
91,2026-05-01 22:05:25,GATE-03,E1046,Warehouse,Night,22:00:00,06:00:00,Check-In,1046,Yes,352.6,1,0,Not Applicable,No,No,ONLINE,94.9,-69.2,22.09,SYNCED,No Alert,2026-05-01,22
92,2026-05-01 22:06:14,GATE-01,UNVERIFIED,Unknown,Unknown,14:00:00,22:00:00,Check-In/Out Attempt,0,No,529.3,1,1,Not Applicable,No,No,ONLINE,96.8,-44.1,22.104,SYNCED,Unknown Fingerprint,2026-05-01,22
93,2026-05-01 22:06:17,GATE-01,UNVERIFIED,Unknown,Unknown,14:00:00,22:00:00,Check-In/Out Attempt,0,No,446.5,2,2,Not Applicable,No,No,ONLINE,95.0,-42.4,22.105,SYNCED,Unknown Fingerprint,2026-05-01,22
94,2026-05-01 22:06:21,GATE-01,E1029,Quality Control,Afternoon,14:00:00,22:00:00,Check-Out,1029,Yes,337.3,3,2,Not Applicable,No,No,ONLINE,95.1,-50.8,22.106,SYNCED,No Alert,2026-05-01,22
95,2026-05-01 22:07:32,GATE-02,E1049,Production,Night,22:00:00,06:00:00,Check-In,1049,Yes,293.2,1,0,Not Applicable,No,No,ONLINE,95.6,-56.4,22.126,SYNCED,No Alert,2026-05-01,22
96,2026-05-01 22:08:41,GATE-02,E1016,Packing,Afternoon,14:00:00,22:00:00,Check-Out,1016,Yes,352.8,1,0,Not Applicable,No,No,ONLINE,95.1,-67.8,22.145,SYNCED,No Alert,2026-05-01,22
97,2026-05-01 22:08:56,GATE-02,UNVERIFIED,Unknown,Unknown,14:00:00,22:00:00,Check-In/Out Attempt,0,No,363.5,1,1,Not Applicable,No,No,ONLINE,94.0,-64.0,22.149,SYNCED,Unknown Fingerprint,2026-05-01,22
98,2026-05-01 22:08:58,GATE-02,E1031,Maintenance,Afternoon,14:00:00,22:00:00,Check-Out,1031,Yes,481.6,2,1,Not Applicable,No,No,ONLINE,94.3,-63.4,22.15,SYNCED,No Alert,2026-05-01,22
99,2026-05-01 22:10:33,GATE-01,E1039,Quality Control,Afternoon,14:00:00,22:00:00,Check-Out,1039,Yes,350.7,1,0,Not Applicable,No,No,ONLINE,94.8,-44.0,22.176,SYNCED,No Alert,2026-05-01,22
100,2026-05-01 22:14:58,GATE-02,E1051,Maintenance,Afternoon,14:00:00,22:00:00,Check-Out,1051,Yes,393.0,1,0,Not Applicable,No,No,ONLINE,94.8,-57.8,22.25,SYNCED,No Alert,2026-05-01,22
101,2026-05-01 22:15:35,GATE-02,E1003,Production,Afternoon,14:00:00,22:00:00,Check-Out,1003,Yes,393.8,1,0,Not Applicable,No,No,ONLINE,94.4,-61.6,22.26,SYNCED,No Alert,2026-05-01,22
102,2026-05-01 22:16:25,GATE-01,E1056,Quality Control,Afternoon,14:00:00,22:00:00,Check-Out,1056,Yes,377.7,1,0,Not Applicable,No,No,ONLINE,95.2,-50.5,22.274,SYNCED,No Alert,2026-05-01,22
103,2026-05-01 22:16:47,GATE-03,E1002,Warehouse,Afternoon,14:00:00,22:00:00,Check-Out,1002,Yes,354.6,1,0,Not Applicable,No,No,ONLINE,93.5,-70.6,22.28,SYNCED,No Alert,2026-05-01,22
104,2026-05-01 22:17:41,GATE-02,UNVERIFIED,Unknown,Unknown,14:00:00,22:00:00,Check-In/Out Attempt,0,No,341.1,1,1,Not Applicable,No,No,ONLINE,93.1,-62.5,22.295,SYNCED,Unknown Fingerprint,2026-05-01,22
105,2026-05-01 22:17:44,GATE-02,UNVERIFIED,Unknown,Unknown,14:00:00,22:00:00,Check-In/Out Attempt,0,No,258.5,2,2,Not Applicable,No,No,ONLINE,92.1,-61.2,22.296,SYNCED,Unknown Fingerprint,2026-05-01,22
106,2026-05-01 22:17:48,GATE-02,E1041,Production,Afternoon,14:00:00,22:00:00,Check-Out,1041,Yes,335.9,3,2,Not Applicable,No,No,ONLINE,93.9,-62.1,22.297,SYNCED,No Alert,2026-05-01,22
107,2026-05-01 22:18:40,GATE-02,E1012,Packing,Night,22:00:00,06:00:00,Check-In,1012,Yes,309.0,1,0,Not Applicable,Yes,No,ONLINE,94.4,-58.6,22.311,SYNCED,Late Arrival,2026-05-01,22
108,2026-05-01 22:21:07,GATE-02,E1010,Production,Night,22:00:00,06:00:00,Check-In,1010,Yes,337.8,1,0,Not Applicable,Yes,No,ONLINE,95.7,-54.5,22.352,SYNCED,Late Arrival,2026-05-01,22
109,2026-05-01 22:26:42,GATE-02,UNVERIFIED,Unknown,Unknown,14:00:00,22:00:00,Check-In/Out Attempt,0,No,719.3,1,1,Not Applicable,No,No,ONLINE,94.8,-63.0,22.445,SYNCED,Unknown Fingerprint,2026-05-01,22
110,2026-05-01 22:26:48,GATE-02,E1043,Production,Afternoon,14:00:00,22:00:00,Check-Out,1043,Yes,373.0,2,1,Not Applicable,No,No,ONLINE,93.6,-58.3,22.447,SYNCED,No Alert,2026-05-01,22
111,2026-05-01 22:26:55,GATE-01,E1017,Quality Control,Afternoon,14:00:00,22:00:00,Check-Out,1017,Yes,230.6,1,0,Not Applicable,No,No,ONLINE,95.2,-52.4,22.449,SYNCED,No Alert,2026-05-01,22
112,2026-05-01 22:38:07,GATE-02,E1027,Production,Afternoon,14:00:00,22:00:00,Check-Out,1027,Yes,436.5,1,0,Not Applicable,No,No,ONLINE,95.1,-62.1,22.635,SYNCED,No Alert,2026-05-01,22
113,2026-05-01 22:39:26,GATE-03,E1052,Security,Afternoon,14:00:00,22:00:00,Check-Out,1052,Yes,393.6,1,0,Not Applicable,No,No,ONLINE,95.3,-73.9,22.657,SYNCED,No Alert,2026-05-01,22
114,2026-05-01 22:45:48,GATE-01,UNVERIFIED,Unknown,Unknown,14:00:00,22:00:00,Check-In/Out Attempt,0,No,246.7,1,1,Not Applicable,No,No,ONLINE,95.6,-53.7,22.763,SYNCED,Unknown Fingerprint,2026-05-01,22
